,Year,CLPRB CA,NGMPB CA,PAPRB CA,REPRB CA,TEPRB CA,TETCB CA,,
0,1960,0,590504,1771042,270161,2631707,3449919,,
1,1961,0,634667,1737732,248178,2620632,3609108,,
2,1962,0,643771,1720222,329046,2693123,3724117,,
3,1963,0,737636,1745266,360333,2845524,3923736,,
4,1964,0,757678,1740052,331757,2833855,4219633,,
5,1965,0,753494,1835282,418518,3010487,4385719,,
6,1966,0,786837,2002711,375877,3167320,4645217,,
7,1967,0,777108,2083470,473192,3340273,4841003,,
8,1968,0,815688,2165847,397366,3395904,5115122,,
9,1969,0,773239,2119020,544918,3464304,5356783,,
10,1970,0,740638,2013508,521978,3310500,5499139,,
11,1971,0,701427,1898806,533790,3172161,5747656,,
12,1972,0,562637,1881865,472312,2951080,5872011,,
13,1973,0,507744,1840090,553162,2929685,6047069,,
14,1974,0,419744,1776070,645073,2882164,5816324,,
15,1975,0,365735,1779234,578578,2790403,6032845,,
16,1976,0,400688,1809853,422852,2686499,6186312,,
17,1977,0,354013,1956636,338073,2736117,6361466,,
18,1978,0,352532,1944168,576601,2957101,6472696,,
19,1979,0,282666,1979523,559806,2917314,6727621,,
20,1980,0,342529,2011465,591928,2999587,6540472,,
21,1981,0,415048,2119146,502232,3071793,6332205,,
22,1982,0,432864,2164421,698981,3337623,6076050,,
23,1983,0,463728,2170134,807128,3502204,6092316,,
24,1984,0,527247,2213402,693614,3587630,6533180,,
25,1985,852,546252,2285212,593488,3635369,6601489,,
26,1986,0,511561,2192742,666981,3648616,6501121,,
27,1987,552,469061,2114726,522673,3424311,6938475,,
28,1988,648,444625,2057434,512100,3342016,7143783,,
29,1989,492,404886,1920809,738917,3409250,7420327,,
30,1990,732,401448,1861034,669326,3278496,7443750,,
31,1991,684,414390,1853083,653513,3252353,7342269,,
32,1992,1236,402577,1771830,642293,3186979,7308211,,
33,1993,0,352853,1699922,820783,3205282,7146526,,
34,1994,0,340415,1659148,633599,2985941,7273603,,
35,1995,0,308580,1618067,846185,3090625,7297478,,
36,1996,0,320843,1637972,817736,3134670,7422343,,
37,1997,0,314186,1653998,760278,3048656,7538784,,
38,1998,0,350247,1645037,832978,3191189,7831111,,
39,1999,0,411088,1583499,760009,3103332,7852568,,
40,2000,0,391339,1572566,736594,3067344,7921270,,
41,2001,0,408873,1511845,608031,2875661,7955161,,
42,2002,0,394973,1495808,676209,2925697,8008105,,
43,2003,0,373822,1438939,719373,2903093,7892261,,
44,2004,0,356787,1392800,697397,2762618,8260248,,
45,2005,0,354384,1335334,741140,2808170,8166058,,
46,2006,0,351706,1293487,821968,2800649,8289269,,
47,2007,0,343379,1267404,631941,2618152,8260040,,
48,2008,0,331830,1244291,603931,2519558,8075576,,
49,2009,0,310439,1202120,646780,2491556,7774309,,
50,2010,0,320668,1162146,715550,2534927,7760676,,
51,2011,0,280255,1137798,837314,2639011,7768794,,
52,2012,0,278232,1143824,703607,2319603,7549440,,
53,2013,0,287883,1153782,741782,2370609,7638003,,
54,2014,0,271757,1187254,746468,2383135,7584837,,
55,2015,0,271086,1150741,734669,2350026,7672710,,
56,2016,0,234094,1064744,927056,2423649,7819232,,
57,2017,0,236845,996414,1115301,2535788,7881348,,
58,2018,178041013781.607,243316.076,1086916.412,862814.955,2380814.947,7770731.694,,
59,2019,700684743709.492,242025.617,1096104.597,848008.259,2339708.597,7732100.754,,
60,2020,760544218598.080,231846.627,1082305.679,866928.270,2292572.015,7696234.297,,
61,2021,1048851735241.310,236704.622,1074583.879,855163.521,2321092.470,7665910.940,,
62,2022,1137085400406.010,225949.605,1088978.725,806008.819,2304996.629,7705070.605,,
63,2023,1418510866721.450,215997.846,1071167.950,829557.957,2314855.465,7708754.082,,
64,2024,1626401578335.290,207947.893,1072524.255,726644.647,2323984.717,7714757.257,,
65,2025,1781733025846.890,199916.543,1052554.788,645921.998,2271944.839,7720130.461,,
66,2026,1903335506099.340,198369.185,1054237.167,734119.422,2302350.059,7704354.101,,
67,2027,1187040551473.010,189605.968,1055597.399,764128.821,2286677.720,7670336.305,,
68,2028,421332934551.538,192479.452,1047932.810,730720.491,2302376.324,7664864.452,,
69,2029,-254879058742.234,186927.913,1070235.423,695719.966,2311954.841,7639362.499,,
70,2030,-330532854782.818,185654.763,1067617.800,746086.000,2312921.268,7614937.033,,
71,2031,-233131515400.071,180913.716,1047201.855,708372.191,2341000.155,7637474.320,,
72,2032,-73223951306.882,176418.138,1029879.128,727895.723,2287695.305,7672677.924,,
73,2033,42835085920.664,175008.743,1043687.060,834057.098,2295211.594,7702755.523,,
74,2034,105545556836.448,174650.135,1038069.013,842489.434,2341472.471,7730107.580,,
75,2035,69919287350.402,174948.061,1047501.206,709899.780,2300641.602,7745928.650,,
76,2036,-12538866863.583,174215.306,1046497.776,770054.766,2336572.983,7719422.034,,
77,2037,-28798575844.609,176099.448,1041799.763,827386.172,2355270.334,7724111.040,,
78,2038,-5610354262.621,173923.022,1052128.033,829848.063,2302873.660,7719402.131,,
79,2039,-43631239228.835,176105.835,1031884.502,897471.777,2340119.143,7710733.988,,
80,2040,-113956793252.283,177623.447,1038303.318,882994.209,2330624.991,7711205.311,,
,,,,,,,,,
,,,,,,,,,
