,Coal_prod,Gas_prod,Oil_prod,Renewable_en_prod,Total_en_prod
1960,26409,6602696,5379378,50155,12058639
1961,26535,6682140,5447308,52023,12208006
1962,25855,6812787,5471272,47721,12357635
1963,27441,6952455,5671135,42718,12693749
1964,28839,7311876,5739216,43884,13123816
1965,30349,7436127,5804308,48967,13319750
1966,28360,7746648,6127692,51980,13954680
1967,27102,7934585,6480449,49944,14492080
1968,28839,8271293,6555601,62939,14918671
1969,28310,8654795,6664147,64351,15411603
1970,29078,9213703,7235420,62757,16540958
1971,28360,9438928,7083023,60471,16610783
1972,50918,9550844,7539574,67560,17208895
1973,97216,9375616,7499885,78102,17050819
1974,107576,9006053,7312336,76691,16502656
1975,144160,8282525,7081272,75872,15583828
1976,182651,7974291,6891268,75965,15124174
1977,209460,7830026,6594513,82566,14716565
1978,265268,7085791,6217629,84175,13652863
1979,356524,7409524,5885352,89721,13741121
1980,385041,7228720,5615319,65819,13294899
1981,418838,6967250,5407630,70520,12864237
1982,448801,6380060,5267659,80452,12176971
1983,493048,5834372,5120884,75817,11524121
1984,515269,6098210,5122409,87064,11822952
1985,574734,6038458,5041464,93532,11748188
1986,615490,5902400,4753651,110360,11381901
1987,640051,5671833,4413580,116905,10842369
1988,658102,5787320,4265871,108936,10860430
1989,675280,5638965,3991380,125459,10536806
1990,706720,5653163,3935172,115294,10578173
1991,674067,5644617,3959173,120330,10605768
1992,685491,5611228,3773613,133852,10460686
1993,682967,5727099,3590722,117228,10248337
1994,660044,5825006,3426263,114097,10325858
1995,664511,5822544,3245947,117889,10230734
1996,709509,5898493,3151384,110535,10245577
1997,687914,5883165,3112187,122666,10197964
1998,677016,6002817,2927040,110071,10122789
1999,671989,5767547,2605551,93994,9523222
2000,632360,5989538,2571703,96071,9681342
2001,578696,5971835,2460923,96535,9506522
2002,581168,5844637,2353501,121028,9272256
2003,594734,5902223,2323851,115457,9284751
2004,572489,5764490,2277741,120813,9157192
2005,595612,5973867,2277086,137517,9383076
2006,593496,6249274,2276390,152232,9701985
2007,554720,6850716,2269314,191764,10296092
2008,515493,7711507,2354440,298470,11305593
2009,455507,7572107,2315986,295329,11072953
2010,538258,7549424,2474970,392977,11387664
2011,605290,8014144,3071054,440763,12546132
2012,578697,8523892,4201648,452930,14159990
2013,564850,8825436,5379019,476268,15645926
2014,576803,9366356,6715919,529818,17599803
2015,471257,9392314,7186120,567922,18029185
2016,515707,8659988,6655905,691225,16962933
2017,474274,8626259,7282947,786173,17573176
