Years,Cali_total_en_prod,Cali_total_en_consumption,Texas_total_en_prod,Texas_total_en_consumption
1960,2631707,3449919,12058639,4416216
1961,2620632,3609108,12208006,4447880
1962,2693123,3724117,12357635,4640675
1963,2845524,3923736,12693749,4894089
1964,2833855,4219633,13123816,5012683
1965,3010487,4385719,13319750,5212184
1966,3167320,4645217,13954680,5557255
1967,3340273,4841003,14492080,5879030
1968,3395904,5115122,14918671,6268911
1969,3464304,5356783,15411603,6656323
1970,3310500,5499139,16540958,6921781
1971,3172161,5747656,16610783,7233774
1972,2951080,5872011,17208895,7623194
1973,2929685,6047069,17050819,8241366
1974,2882164,5816324,16502656,8093721
1975,2790403,6032845,15583828,7511439
1976,2686499,6186312,15124174,7835920
1977,2736117,6361466,14716565,8475779
1978,2957101,6472696,13652863,8941144
1979,2917314,6727621,13741121,9308055
1980,2999587,6540472,13294899,9385670
1981,3071793,6332205,12864237,9147556
1982,3337623,6076050,12176971,8471394
1983,3502204,6092316,11524121,8406461
1984,3587630,6533180,11822952,8946242
1985,3635369,6601489,11748188,9011817
1986,3648616,6501121,11381901,9007599
1987,3424311,6938475,10842369,9240071
1988,3342016,7143783,10860430,9811771
1989,3409250,7420327,10536806,10093725
1990,3278496,7443750,10578173,10272320
1991,3252353,7342269,10605768,10278273
1992,3186979,7308211,10460686,10445158
1993,3205282,7146526,10248337,10554352
1994,2985941,7273603,10325858,10879574
1995,3090625,7297478,10230734,11070854
1996,3134670,7422343,10245577,11832246
1997,3048656,7538784,10197964,12237335
1998,3191189,7831111,10122789,12418135
1999,3103332,7852568,9523222,12077034
2000,3067344,7921270,9681342,12420851
2001,2875661,7955161,9506522,12200928
2002,2925697,8008105,9272256,12508396
2003,2903093,7892261,9284751,12295541
2004,2762618,8260248,9157192,12333678
2005,2808170,8166058,9383076,11858030
2006,2800649,8289269,9701985,11864993
2007,2618152,8260040,10296092,11774259
2008,2519558,8075576,11305593,11251973
2009,2491556,7774309,11072953,10883320
2010,2534927,7760676,11387664,11681851
2011,2639011,7768794,12546132,11885388
2012,2319603,7549440,14159990,11944734
2013,2370609,7638003,15645926,12723430
2014,2383135,7584837,17599803,12733681
2015,2350026,7672710,18029185,12886742
2016,2423649,7819232,16962933,13089570
2017,2535788,7881348,17573176,13365864
2018,2380814.947,7770731.694,18170167.33,12833600.18
2019,2339708.597,7732100.754,18029690.54,12852128.71
2020,2292572.015,7696234.297,18057921.7,12729009.55
2021,2321092.47,7665910.94,17907936.34,12798825.72
2022,2304996.629,7705070.605,17647836.46,12669489.85
2023,2314855.465,7708754.082,17326647.16,12460054.14
2024,2323984.717,7714757.257,16799567.03,12258208.22
2025,2271944.839,7720130.461,16359032.8,12162773.03
2026,2302350.059,7704354.101,16217620.54,11943806.87
2027,2286677.72,7670336.305,16006734.55,11702106.01
2028,2302376.324,7664864.452,15765621.66,11662489.51
2029,2311954.841,7639362.499,15635588.91,11752740.19
2030,2312921.268,7614937.033,15277264.32,11608482.92
2031,2341000.155,7637474.32,15051815.37,11707857.57
2032,2287695.305,7672677.924,14839112.91,11844610.93
2033,2295211.594,7702755.523,14443896.28,11892254.11
2034,2341472.471,7730107.58,14270154.57,11951870.36
2035,2300641.602,7745928.65,14475529.29,12270022.86
2036,2336572.983,7719422.034,14693895.32,12360605.34
2037,2355270.334,7724111.04,14738656.62,12414414.56
2038,2302873.66,7719402.131,14591703.46,12609561
2039,2340119.143,7710733.988,14317147.45,12628284.23
2040,2330624.991,7711205.311,14291718.47,12481078.1
